"user","art","auxv","conj","adv","ipron","ppron","prep","quant"
"100%BulletProof",5.5,5,2,1.5,3.5,2.5,8.5,2.5
"100110100",3.25,6,2.5,2,4,3.25,3.75,0.75
"1007D",4.5,2,1.5,0.5,3,4.5,4,1
"1013-josh",4,3,4,2,1,8,11,2
"1028",1,2,0,2,1,1,0,1
"107.20.19.183",2,4,4,3,3,2,1,4
"107.20.23.31",0,1,1,1,1,1,2,0
"108.2.10.22",11,7,7,6,11,15,17,6
"108.2.2.183",3,3.5,2.5,1.5,4,3,4.5,1
"108.2.227.13",0,1,0,0,2,1,1,0
"108.2.231.19",0,0,0,0,0,0,0,0
"108.2.4.225",1,1,1,0,3,2,1,0
"108.69.80.43",0.4,0.8,1.1,1.3,0.9,1.5,2,0.7
"108.7.60.23",9,5,2,1,1,1,7,2
"109.128.192.218",4.66666666666667,9.33333333333333,5,2.66666666666667,7.66666666666667,8.66666666666667,10.3333333333333,2.66666666666667
"109.145.250.85",4,7,1,2,3,5,3,4
"109.148.152.127",2,2.5,0,0.5,1.5,2,2,0.5
"109.148.154.124",3,2,1,0,1,1,3,0
"109.150.32.113",4,8,1,1,1,6,6,1
"109.153.194.239",7,9,7,8,8,12,21,11
"109.154.101.207",7,0,3,4,2,5,9,2
"109.186.51.33",7,8,4,1,6,5,12,2
"109.242.68.184",7,5,6,2,2,4,5,2
"109.242.75.41",19,22,21,10,14,14,34,7
"109.58.8.251",3,7,1,3,3,7,4,1
"109.66.203.215",0,0.5,0.5,0,1,0.5,1,0
"10Lskil",1.5,3.5,2.5,2.5,4,2.5,4,0.5
"10nitro",8,11,6,9,10,6,14,2
"110.164.230.43",2,4,0,1,2,4,3,3
"110.168.77.67",10,3,6,4,6,7,11,2
"1111tomica",2.16666666666667,2.16666666666667,1.16666666666667,1,0.833333333333333,3.83333333333333,2.66666666666667,0.833333333333333
"112.201.59.48",3,7,4,3,3,6,2,0
"112.203.129.140",3.5,5.5,1.5,2,3.5,0.5,4.5,0.5
"114.148.236.155",2,1,1,2,0,3,2,1
"114.73.43.232",0,2,1,2,1,0,4,0
"114.76.235.170",1,2,0,0,0,3,2,0
"115.111.52.227",1,8,5,3,2,4,2,0
"115.117.157.39",3,3.5,1,1,0.5,1.5,3.5,1.5
"115.128.41.26",1,2,2,1,3,3,2,1
"115.240.62.56",1,6,2,1,3,4,5,2
"115.75.155.250",10,8,4,4,6,4,10,4
"116.71.46.234",2,2,0,0,0,1,2,0
"116.71.63.58",0,1,0,0,0,1,1,0
"117.201.112.44",0,2,2,0,2,1,1,0
"117.204.82.163",8,10,9,3,7,8,23,3
"117.241.216.80",4,1,1,0,0,1,5,2
"117.254.79.137",5,8,6,1,4,3,11,1
"117.254.79.182",3,9,6,3,5,2,5,3
"117Avenue",3.19512195121951,4.09756097560976,2.34146341463415,1.46341463414634,2.17073170731707,2.85365853658537,5.39024390243902,1.14634146341463
"118.209.65.244",3,5,3,0,3,3,4,1
"118.92.129.27",16.5,17.5,10,7,6,12,23.5,4.5
"118.92.132.230",11,8,8,8,10,13,18,9
"118.93.168.227",1,2,2,2,0,4,2,0
"119",2,5,11,2,3,2,6,2
"119.12.70.215",2,4,2,1,1,2,2,1
"119.137.39.245",0,0,0,0,0,1,0,0
"119.152.247.198",6,11,5,1,7,3,9,4
"119.152.247.39",2.5,4,4.5,2.5,1.5,3,5,4
"119.155.43.57",0,2,0,1,1,1,1,2
"119.201.175.35",1,1,1,0,1,3,5,0
"119.73.6.24",4,3,3,1,3,2,3,3
"12 Noon",0.666666666666667,1.66666666666667,0.333333333333333,1.33333333333333,1.33333333333333,2,2.66666666666667,0.666666666666667
"12.130.118.69",1,0,0,0,1,1,5,0
"12.152.199.77",2,3,2,0.5,2,3,2,0.5
"12.191.118.28",1,1,1,2,2,4,3,0
"12.226.115.107",3,5,1,0,2,5,4,3
"12.72.70.222",2,5,5,1,2,4,6,1
"120.146.71.41",1,0,1,0,1,3,2,0
"120.16.146.242",7,4,6,4,8,4,11,4
"120.23.0.60",10,15,12,8,14,17,21,8
"121.102.47.215",1,0,0,0,0,0,0,0
"121.209.160.15",6,9,2,0,4,5,8,2
"121.209.235.20",1,2.5,0.5,2,2,2,0.5,1
"121.216.63.116",8,7.5,7.5,2.5,7.5,7,14.5,0.5
"121.218.225.141",2,3,1,1,1,1,3,0
"121.218.70.139",6,2.33333333333333,4.33333333333333,0.666666666666667,2.33333333333333,1.66666666666667,4,1.66666666666667
"121.219.155.85",7,4,5,2,3,4,11,4
"121.220.25.36",1,2,1,0,1,2,2,0
"121.223.100.220",16,10,11,7,9,9,20,10
"121.223.69.138",0,0,0,0,0,1,1,1
"121.54.2.91",3,0,0,1,0,3,7,0
"121a0012",1,1,0,2,0,4,3,1
"122.107.11.230",4,4,0,2,4,1,3,0
"122.148.41.172",3,4,1,1.5,3,0,3.5,1
"122.148.64.45",4,4,2,0,4,3,3,2
"122.165.3.250",2,3,2,0,0,1,6,0
"122.166.160.81",0,0,0,0,0,1,0,0
"122.172.10.201",1,1,1,1,1,2,1,2
"122.176.130.168",1,2,2,1,1,0,2,2
"122.177.218.88",3,2,1,0,2,3,4,0
"122.49.166.14",1,4,0,0,1,1,1,0
"122.57.91.165",6,7.33333333333333,6,4.33333333333333,2.66666666666667,4.33333333333333,7,2.66666666666667
"122.62.88.10",2,3,3,1,0,6,5,1
"123.193.12.44",1,3,3,2,2,1,3,1
"123.211.143.118",12,5,10,7,3,6,9,1
"123.225.192.66",3,4,1,0,3,2,5,0
"123.236.27.175",0,1,1,0,0,2,5,0
"123.24.106.106",2,1,0,0,0,1,2,0
"123.243.203.94",2,5,4.33333333333333,1.66666666666667,1,5.33333333333333,5,1
"123.255.23.105",3,1,0,0,0,1,2,1
"1234r00t",1.5,2.8,1.1,0.9,0.9,2.9,2.8,0.5
"123Pie",2.33333333333333,4,4,1,2.66666666666667,2,4,0.333333333333333
"124.100.40.131",2,4,8,4,5,2,7,1
"124.106.80.18",20,18,10,9,9,30,25,9
"124.168.105.254",6,2,2,1,0,3,10,3
"124.168.70.87",7,9.25,9.75,4.25,3.75,12.75,19.75,5.25
"124.170.158.162",4,7,5,2,5,3,7,2
"124.171.199.245",20.5,14,14.5,4,7.5,13,24.5,11.5
"124.171.21.177",0,2,0,0,3,2,2,0
"124.176.148.148",2,3,2,1,2,4,2,0
"124.177.81.178",1,3,1,1,5,2,5,0
"124.179.173.61",3,3,3,2,1,5,10,4
"124.183.184.21",3,3,0.5,0.5,1.5,2.5,1.5,0.5
"124.183.227.185",3,8,5,1,4,3,6,1
"124.19.40.219",3,2,1,0,0,3,7,2
"125.162.150.88",0.916666666666667,1.5,0.833333333333333,0.5,1.58333333333333,1.08333333333333,1.16666666666667,0.333333333333333
"125.22.97.34",6.5,8,2.5,2,4,6.5,8,6
"125.25.235.62",0,1,1,1,1,1,2,0
"125.27.44.56",2,1,4,3,1,4,5,1
"125.63.65.52",0,0,0,0,0,0,0,0
"128.100.5.116",5,5,1,4,6,3,7,0
"128.107.239.233",0,1,0,0,1,0,0,0
"128.12.103.70",8,11,5,6,7,7,9,1
"128.122.128.25",0,3,2,1,1,1,3,2
"128.122.89.48",3,5,2,4,0,6,3,0
"128.208.76.85",2,7,3,2,6,6,5,1
"128.237.247.47",1,2,0,2,1,1,0,0
"128.248.202.31",2,1,0,0,0,1,1,0
"128.250.87.108",7,7.5,6,2.5,2,2,12.5,2.5
"128.84.220.223",1,3,2,0,1,6,6,3
"128.91.128.104",3,2,2,2,1,3,5,0
"128.97.129.33",8,7,3,2,4,1,9,4
"129.107.225.207",0,1,0,0,1,2,0,0
"129.107.226.173",1,1,0,1,3,1,4,1
"129.133.127.244",3,3,1.33333333333333,0.333333333333333,1,3,2.66666666666667,0.333333333333333
"129.15.88.107",2,3,7,0,3,6,9,2
"129.173.105.28",2,3,2,3,2,1,3,1
"129.2.100.208",3,6,1,3,3,4,2,0
"129.247.247.239",6,5,3,2,6.5,6.5,7.5,4.5
"129.33.19.254",2,7,5,1,2,8,9,5
"129.49.72.78",0,0,0,0,0,1,1,0
"129.67.38.139",7,4,1,1,2,5,6,1
"129.97.140.98",0.333333333333333,2,0.333333333333333,1,1,3,2,0.333333333333333
"129.97.4.143",3,3,0,1,3,2,3,1
"12george1",2.75,2.5,1.5,1,2,2.25,5.25,1.25
"130.102.42.97",2,0,1,0,0,1,5,1
"130.111.248.90",7,3,5,3,4,3,10,2
"130.120.37.11",2,2,1,1,1,2,1,0
"130.123.192.23",3,4,1,5,4,7,5,4
"130.234.68.224",0,0,0,0,0,1,1,0
"130.234.68.225",3,5,1,2,1,3,3,1
"130.56.93.43",0,2,1,2,1,3,1,1
"130.76.32.99",1,3,1,1,2,3,2,0
"130.76.96.19",0,0,1,2,0,3,0,0
"131.111.185.68",5.5,4,2.5,1,2.5,3,12,1.5
"131.183.81.184",12,14,9,7,10,11,16,6
"131.183.84.166",2,2,2,2,2,1,1,0
"131.211.210.17",2.5,1,0.5,0.5,0.5,2,2.5,1
"131.211.84.85",6,4,4,4,4,1,6,5
"131.215.159.169",2,2,1,3,1,1,3,1
"131.215.159.229",3,1,3,4,3,6,5,3
"131.215.220.133",3,1,1,0,1,3,1,0
"131.22.200.64",0.5,2,0.5,1,2,3,1.5,1.5
"131.30.121.23",2,1,0,0,1,3,0,0
"132.205.3.20",3,2,2,1,1,2,7,1
"132.205.44.5",4.66666666666667,4.66666666666667,2,0,2.33333333333333,3.66666666666667,6,2.33333333333333
"132.205.64.154",5,8,6,4,8,5,9,2
"132.241.245.49",1,1,0,1,0,2,0,0
"132.241.246.111",0.5,2.5,1,1,1.5,2,2,1
"132.244.72.6",4,4,2,0,5,2,7,1
"132.70.50.117",0,1,0,0,1,1,0,0
"133.9.4.11",0,1,1,0,1,3,0,0
"134.10.113.198",2,1,1,3,1,1,4,1
"134.147.79.25",0,2,1,1,1,4,2,3
"134.161.227.70",1,2.5,1.5,0.5,2.5,6.5,2,1
"134.245.253.140",1,2,2,2,1,3,1,0
"134.253.26.11",3.5,4.5,1,1,3.5,4,3.5,1
"134.253.26.12",6,5,2.33333333333333,1,2.66666666666667,1.33333333333333,5,0.333333333333333
"134.253.26.6",2,3.5,1.5,1,2.5,4.5,7.5,1
"134.53.42.93",8,8,7,3,5,3,14,3
"136.8.152.13",3,3,2,0,0,0,2,0
"137.151.174.176",3,4,1,0,1,1,4,1
"137.205.192.27",3.5,8,6,4.5,6,7,7.5,1.5
"137.222.10.67",1,2,0,1,2,3,1,0
"137.82.96.26",4,2,1,0,2,2,6,0
"138.130.219.186",4,6,4,3,4,12,12,2
"138.246.7.176",2,5,2,3,5,0,8,2
"139.168.10.149",12,2,2,0,2,0,16,2
"139.168.53.159",4,4,1,0,2,3,4,1
"14.136.197.16",0,2,3,0,3,2,4,0
"140.247.23.104",2,2,1,1,3,3,4,2
"140.247.242.85",15,11,7,9,5,9,26,4
"141.154.51.166",0,0,0,0,0,1,0,0
"141.155.16.188",1,1,2,2,3,3,2,0
"141.213.211.100",6,13,10,3,8,7,7,1
"141.30.25.68",5,8,2,2,6,5,6,4
"141.89.77.122",3,4,2,1,2,4,4,1
"142.104.214.186",2.66666666666667,2,1.66666666666667,1.33333333333333,3.66666666666667,4.66666666666667,3,0
"142.151.162.141",0,2,0,0,2,1,1,0
"142.161.184.39",3,2,1,0,1,0,5,2
"142.166.95.83",2,4,3,2,2,3,5,1
"142.167.255.223",7,9,6,4,7,7,11,4
"142.167.81.93",1,1,0,0,1,0,0,0
"142.167.92.94",1,2,0,0,3,1,3,0
"142.177.141.125",4,2,0,2,0,1,2,0
"142.27.101.13",0,0,1,1,0,0,0,0
"143.238.68.42",5,4,5,0,3,3,7,3
"143.239.215.33",4,1,1,0,1,3,6,4
"144.136.101.238",1,2,1,0,0,3,0,1
"144.138.194.119",3,3,1,2,1,1,6,1
"144.214.156.18",3,2,2,2,2,2,5,0
"144.92.184.170",6,3,0,1,2,2,4,1
"145.228.61.4",3,1,2,3,1,5,7,1
"146.115.58.152",58,65,39,44,38,27,75,21
"147.122.5.216",0,0,0,0,0,1,0,0
"147.70.242.41",5,1,0,2,2,1,3,1
"147.70.242.54",10,8.33333333333333,6,2,2.66666666666667,5.33333333333333,13,1.66666666666667
"147.8.16.100",5,4,4,2,0,7,7,2
"149.142.243.83",1,1,0,0,0,1,1,0
"149.15.160.188",3,2,5,2,2,8,7,3
"149.169.143.185",1,0.333333333333333,0.666666666666667,0.666666666666667,1,1,1.33333333333333,0
"149.169.143.239",2.25,2,3,2.25,1,2.25,3,0.75
"149.169.159.251",1,1,2,2,1,0,2,0
"149.4.110.97",0,0,0,0,1,0,0,0
"150.162.246.113",4,4,1,2,3,3,11,0
"150.162.246.170",2,4,1,4,0,2,2,1
"150.203.191.133",1,6,5,2,2,5,10,1
"150.203.223.246",2,2,0,0,1,1,2,1
"151.20.39.71",1,0,1,1,1,0,1,1
"151.200.237.53",1,0,1,0,3,1,1,0
"151.202.74.135",0.75,1,1,0.5,1,2,0.5,0
"151.21.249.158",0.5,0,0,0,0,0,1,0.5
"151.21.254.68",1,0,2,1,0,0,4,0
"151.60.116.214",1,3,2.5,2,3.5,3,4,0
"151.60.119.223",2,0,1,3,1,1,5,2
"152.16.10.191",3,9,4,2,7,6,5,3
"152.3.129.206",1,0,0,0,0,1,2,0
"152.91.9.144",3.2,3,1.4,1.8,3.2,2.8,5.2,2.4
"153.108.64.1",2,1,1,1,2,0,1,2
"154.20.13.70",1,4,8,6,1,5,11,6
"155.188.183.18",4,3,5,2,3,6,8,1
"155.188.183.19",4,3,2,1,1,3,4,1
"155.198.115.45",0,2,0,2,1,0,0,0
"155.245.121.134",0,5,2,2,4,1,2,0
"155.246.138.87",2,1,0,1,1,1,3,0
"155.69.171.203",7,2,1,0,0,0,5,3
"156.34.142.110",39,69,52,46,33,65,75,29
"156.34.209.81",0,0,0,0,0,0,0,0
"156.34.216.55",8,10,3,3,6,11,24,8
"156.34.224.2",0,0,0,0,0,1,0,0
"156.61.160.1",6,10,6,3,3,6,11,2
"157.203.254.2",1,5,2,1,0,7,1,2
"158.143.162.119",4,6,6,3,3,6.5,8,2
"158.169.9.14",5,8,6,1,4,5,9,0
"158.59.27.249",5,8,3,2,4,2,9,3
"159.134.99.123",4,9,3,2,2,11,7,1
"159753",1,1,0,3,1,0,0,0
"160.111.254.17",2,3,3,2,3,4,5,4
"160.39.221.164",1,2.5,1.5,2.5,2.5,5.5,3,0.5
"161.38.222.14",4.5,4.5,5.25,3.5,4.75,7.5,9.25,2.25
"162.83.160.14",2,1,1,2,1,0,0,0
"162.83.236.121",3,2,0,1,0,2,2,1
"163.167.129.124",5,4.5,2.5,3.5,3,3.5,9.5,1.5
"164.107.187.42",2,1,0,0,0,1,2,0
"164.107.222.23",0,0,0,1,0,1,0,0
"164.107.92.120",1,1,0,0,0,0,2,0
"164.11.204.56",0,0,0,0,0,0,0,0
"164.55.254.106",2.5,0.5,1.5,1,2,1,4,2.5
"165.124.111.39",5,7,3,3,2,3,9,2
"165.154.46.149",5,4,4,1,3,3,5,0
"165.189.101.177",9.6,14.6,10,5.4,8.4,9,17.8,6.2
"165.21.155.116",0,1,1,0,1,3,1,0
"165.228.129.11",1.5,1.5,0.5,1,0,1.5,1,1
"165.236.112.245",14,15,10,8,13,9,16,5
"166.137.14.13",3,3,2,0,1,0,1,0
"166.137.141.189",0,0,0,0,0,0,0,0
"166.196.177.114",1,0,0,0,1,1,0,1
"166.196.248.230",8,9,5,2,12,10,16,3
"166.197.141.126",9,11,9,7,6,18,26,4
"166.197.64.191",1,4,0,3,4,4,6,0
"166.198.100.190",1,1,1,1,1,2,2,0
"166.198.218.30",3,3,2,1,2,4,5,3
"166.199.165.88",6,11,3,4,4,12,5,3
"166.199.243.171",2,2,2,1,2,7,5,4
"166.199.38.64",0,0,0,0,0,0,0,1
"166.205.137.210",2,5,3,3,7,7,4,0
"167.219.48.10",1,1,1,0.5,0.5,3.5,1,1
"168...",15,23,19,13,16,23,30.6666666666667,6.66666666666667
"168.99.144.58",0,0,1,1,1,0,0,0
"169.139.19.108",7,11,9,9,7,6,9,4
"169.2.124.130",7,11,8,4,7,10,15,6
"169.233.58.87",1,1,0,0,0,2,4,0
"169.237.141.10",7,9,3,3,7,5,12,3
"16@r",2,1,0,0,2,3,1,0
"170.170.59.138",2.875,4.875,4.25,3.875,3.75,5.5,4.5,3.125
"172",3.9375,2.8125,1.8125,1.375,1.5,3.3125,5.875,1.0625
"172.131.104.155",12,12,4,6,7,1,19,7
"172.131.128.25",0,0,0,0,0,0,0,0
"172.137.12.148",6,3,3,0,2,4,6,2
"172.137.190.250",3,7,0,2,9,14,8,1
"172.142.0.137",0,5,1,0,1,2,2,1
"172.143.63.173",3,4,3,1,3,8,5,0
"172.145.185.208",1,2,2,3,2,1,6,1
"172.151.216.37",5,8,9,4,2,8,9,1
"172.153.124.92",3,3,7,5,2,7,11,4
"172.163.215.214",11.5,13,9.5,8.5,11.5,8,20.5,6.5
"172.165.157.184",4.2,7.8,6.8,5.8,6,9.6,9.4,3.2
"172.165.196.210",2,1,2,0,1,2,2,3
"172.189.81.8",2,7,6,2,7,2,7,2
"172.190.32.51",0,0,1,1,1,1,2,0
"172.198.40.82",1,1,0,0,1,1,1,1
"172.201.28.60",1,2,0,1,0,3,1,1
"172.206.20.239",4,2,1,0,1,2,2,4
"172.213.191.139",0,2,4,5,0,4,2,0
"173.141.251.40",3,1,0,2,0,1,3,0
"173.179.59.66",6,4.25,2.75,0.25,3.5,2.25,5,2
"173.206.65.134",11,9,6,6,5,3,23,7
"173.216.232.76",6,3,2,4,5,2,4,1
"173.52.187.133",6.6,7.4,4.8,2.6,4.4,2,10.6,2.6
"173.60.201.35",9.33333333333333,13.3333333333333,6.33333333333333,5.66666666666667,9,5.66666666666667,12.6666666666667,4
"173.61.170.148",2.66666666666667,9,5.33333333333333,3.33333333333333,6,13.6666666666667,6.66666666666667,3
"173.63.190.188",2,2,3,2,2,2,2,0
"173.66.36.76",7,4,3,3,1,4,8,3
"173.68.231.58",2,3,2,2,0,2,0,0
"173.78.20.96",13,17,11,6,10,1,16,3
"173.79.0.63",1,7,6,6,6,11,14,2
"173.86.41.63",0,0,0,0,1,2,1,1
"173.88.38.41",6,8,6,3,8,14,16,9
"174.16.29.141",2,2,0,1,3,0,7,2
"174.20.178.185",2,1,1,0,0,3,6,0
"174.28.112.178",3.5,5,4,3,3,8,7.5,2
"174.28.88.79",7,8,7,4,4,8,17,5
"174.3.102.6",4,4,2,2,0,3,3,0
"174.3.110.108",2,2,0,0,0,2,1,0
"174.3.111.148",0,1,0,0,0,1,0,0
"174.3.123.220",2,1.71428571428571,0.857142857142857,0.571428571428571,1,1.85714285714286,2.42857142857143,0.571428571428571
"174.3.98.236",2,3.5,1.5,1,1,3,2,0
"174.3.99.176",1,1.81818181818182,0.909090909090909,0.636363636363636,1.36363636363636,1.54545454545455,1.63636363636364,0.454545454545455
"174.46.204.210",4.5,7,3,2.5,2.5,7,6,1
"174.5.11.131",4,3,5,2,3,4,4,2
"174.51.232.32",0,2,2,1,1,2,2,2
"174.52.224.148",13,16.5,8,7,7.5,16,20,4.5
"174.6.87.98",4,3,1,4,1,5,8,0
"174.7.19.170",1,1,0,0,1,2,1,0
"174.74.68.103",6,5,3,1,3,4,4,1
"174.89.240.10",2,3,1,1,3,6,2,0
"174.91.0.164",1,3,2,2,1,3,1,0
"174.91.6.159",1,2,0,0,0,2,0,0
"174.91.6.51",1,6,1,2,5,5,3,2
"176.14.102.205",1.5,7,2,4,6.5,2,4.5,1.5
"178.176.10.141",0,0,0,0,0,0,0,0
"178.192.72.159",6,3,1,2,3,0,14,1
"178.38.154.66",9,13,4,6,7,7,17,2
"17Drew",1,3,1,1,3,1,3.5,0.5
"18.171.0.233",23,25,22,6,18,11,35,19
"180.149.48.245",2.5,4.33333333333333,2.83333333333333,1.5,3.66666666666667,3,7,2.33333333333333
"180.191.54.108",0,2,0,0,0,1,0,1
"180.191.63.230",5,7,2,3,6,3,4,1
"182.239.211.104",0,0,0,0,0,2,1,1
"184.163.238.18",0.75,1.75,0.5,1,0.75,1,1,0
"184.36.90.183",9,5,5,2,4,2,17,1
"184.4.120.30",1,3,1,0,1,1,2,2
"184.58.245.87",3,2,2.25,2,1.25,2.5,4.5,1.25
"184.6.244.0",3,8,6,3,3,7.5,12,1.5
"186.24.16.1",1,1,1,2,1,3,4,1
"187.13.30.222",3,7,5,3,3,2,6,3
"187.91.17.44",1.6,0.6,1.4,0,0.6,0,1.6,0.4
"188.134.32.80",3,4,2,1,0,1,4,3
"188.155.102.104",5,11,9,6,5,4,7,4
"188.167.27.153",2,6,0,0,2,2,3,2
"188.169.22.145",1,0.5,1,0.5,0,1.5,1,0.25
"188.2.166.104",1.5,2,1,1,3.5,2,2.5,0.5
"188.2.97.229",3.66666666666667,4,1.66666666666667,1.66666666666667,3.33333333333333,5.33333333333333,4,3
"188.220.46.47",4,2,2,3,2,6,8,2
"188.221.105.68",4,3,3.5,3,2.5,4.5,6,1.5
"188.221.24.27",3,8,1,2,4,3,5,1
"188.221.55.165",2,2,1,0,2,0,4,0
"188.225.180.251",1,1,0,1,1,0,1,0
"188.23.211.222",2,1,1,0,0,2,3,2
"188.25.226.89",1,1,0,1,0,0,1,1
"188.28.140.106",2,4,2,2,2,6,6,5
"188.28.227.240",2,1,2,0,0,2,3,0
"188.28.228.34",0,0,1,1,0,0,1,1
"188.29.60.182",0,1,1,0,1,2,0,0
"188.65.183.51",8,12,8,2,4,12,19,7
"189.102.151.185",2,4,0,1,2,1,5,1
"189.105.99.200",5,6,3,5,5,5,10,5
"189.121.177.48",4,2,1,1,2,3,3,2
"189.24.47.205",8,5,4,1,2,2,9,1
"189.33.12.27",0,0,0,1,1,0,0,0
"189.4.240.56",0,7,1,3,2,4,3,1
"189.60.36.154",0,1,1,2,0,1,0,0
"190.134.33.196",0,0,0,0,0,0,0,0
"190.2.33.205",9,3,3,3,4,3,6,9
"190.232.177.48",2,3,4,1,2,5,4,0
"190.40.185.235",5,5,2,3,10,5,7,0
"190.49.162.85",3,4,3,1,4,1,8,0
"190.50.73.242",0,0,0,0,0,1,0,0
"190.50.86.22",2,3,0,0,1,1,1,0
"190.84.140.135",9,3,1,1,2,1,4,1
"192.160.64.49",28,26,14,12,24,10,36,9
"192.197.82.153",1,0,0,0,1,2,3,1
"192.91.147.34",15,7,7,3,10,2,15,8
"192.94.94.105",6,5,0,3,1,2,5,1
"193.108.78.10",6,10,5,4,7,4,11,3
"193.137.47.113",0,0,0,0,0,0,0,0
"193.216.133.251",2,6.5,4.5,4.5,4.5,5,6.5,2
"193.248.38.17",2,5,2.5,0,2,3.5,6.5,3.5
"193.255.108.20",7.5,9,8,5.5,7,3,13,4.5
"193.61.176.108",4,2,2,1,2,2,5.5,2
"194.145.161.227",3.25,3,2.25,3,2.25,4.5,6.25,1
"194.225.166.11",1,4,1,2,4,3,4,1
"194.226.235.251",1,0,0,0,0,0,1,0
"194.46.189.195",25,27,17,5,22,21,52,13
"194.60.106.38",7,6,2,6,6,5,8,5
"194.65.1.231",4,9,9,4,13,7,8,1
"194.66.70.48",0,1,3,4,0,2,3,0
"194x144x90x118",4,6.14285714285714,4.28571428571429,3.57142857142857,6.71428571428571,6.85714285714286,8.57142857142857,1.71428571428571
"195.11.216.59",4,1,1,1,1,2,4,1
"195.113.146.198",0,2,0,1,3,2,5,0
"195.137.109.177",4,3.5,2,4,0.5,3.5,6.5,0.5
"195.137.42.134",1,1,1,1,0,2,1,1
"195.14.220.119",3,2,1,1,1,5,5,0
"195.188.152.12",0,3,1,0,2,3,6,3
"195.194.143.91",7,7.33333333333333,4,3,6,5.33333333333333,8,0
"195.194.150.129",0,0,0,0,0,1,0,0
"195.216.82.210",0,2,2,3,0,1,1,0
"195.241.69.171",8,7,9,5,11,8,17,2
"195.26.60.87",7,11,3,1,6,7,8,2
"195.7.55.146",2,3,0,0,2,3,1,0
"195.82.106.127",1,1,1,1,0,0,0,0
"196.15.168.40",10,12,7,6,4,14,16,4
"1965Tim",0,1,1,0,0,4,2,1
"198.102.153.2",2.75,5,1.5,1.25,2.75,3,6.5,1
"198.151.130.69",1,0,0,1,1,1,1,0
"198.162.110.34",2,2,1,4,5,5,8,2
"198.163.45.88",2,3,3,2,1,9,9,2
"198.163.53.11",0,3,0,2,2,1,0,0
"198.166.214.5",0,0,0,0,1,0,0,0
"198.175.230.96",2,4,2,2,0,2,6,0
"198.185.18.207",0,0,0,1,0,1,0,0
"199.1.152.210",3,1,0,2,1,2,3,3
"199.125.109.102",0.5,2,0,0,1.5,0.5,1.5,0
"199.125.109.126",6.33333333333333,5.66666666666667,5,5.33333333333333,5.33333333333333,2.66666666666667,11.3333333333333,5.33333333333333
"199.125.109.20",3,3,0,1,4,4,8,2
"199.125.109.56",0,0,0,0,0,0,0,0
"199.125.109.73",5.5,9,4.5,3,6.5,3.5,5.5,2
"199.125.109.77",5,2,1,0,1,0,6,2
"199.126.224.245",0,2,1.33333333333333,0.333333333333333,1,0.666666666666667,2,0
"199.19.186.9",3,12,8,4,4,2,9,2
"199.219.138.254",2,6,4,5,1,6,3,1
"199.254.212.44",0,2,0,0,3,3,1,0
"199.33.140.2",4,8,3,2,3,5,6,2
